a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
309,comm1,23191784,92251,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23284035,ranked_up_310,,,,,,310,310,,RANK_1STSGT_FULL,,0
310,comm1,23284035,92307,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23376343,ranked_up_311,,,,,,311,311,,RANK_1STSGT_FULL_N,,0
311,comm1,23376343,92364,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23468706,ranked_up_312,,,,,,312,312,,RANK_1STSGT_FULL_N,,0
312,comm1,23468706,92420,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23561126,ranked_up_313,,,,,,313,313,,RANK_1STSGT_FULL_N,,0
313,comm1,23561126,92476,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23653603,ranked_up_314,,,,,,314,314,,RANK_PVT_FULL,,0
314,comm1,23653603,92532,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23746135,ranked_up_315,,,,,,315,315,,RANK_PVT_FULL_N,,0
315,comm1,23746135,92588,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23838722,ranked_up_316,,,,,,316,316,,RANK_PVT_FULL_N,,0
316,comm1,23838722,92643,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,23931365,ranked_up_317,,,,,,317,317,,RANK_PFC_FULL,,0
317,comm1,23931365,92699,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24024064,ranked_up_318,,,,,,318,318,,RANK_PFC_FULL_N,,0
318,comm1,24024064,92754,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24116818,ranked_up_319,,,,,,319,319,,RANK_PFC_FULL_N,,0
319,comm1,24116818,92809,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24209626,ranked_up_320,,,,,,320,320,,RANK_SPC_FULL,,0
320,comm1,24209626,92864,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24302490,ranked_up_321,,,,,,321,321,,RANK_SPC_FULL_N,,0
321,comm1,24302490,92918,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24395408,ranked_up_322,,,,,,322,322,,RANK_SPC_FULL_N,,0
322,comm1,24395408,92973,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24488381,ranked_up_323,,,,,,323,323,,RANK_CPL_FULL,,0
323,comm1,24488381,93027,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24581407,ranked_up_324,,,,,,324,324,,RANK_CPL_FULL_N,,0
324,comm1,24581407,93081,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24674489,ranked_up_325,,,,,,325,325,,RANK_CPL_FULL_N,,0
325,comm1,24674489,93135,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24767624,ranked_up_326,,,,,,326,326,,RANK_SGT_FULL,,0
326,comm1,24767624,93189,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24860813,ranked_up_327,,,,,,327,327,,RANK_SGT_FULL_N,,0
327,comm1,24860813,93243,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,24954055,ranked_up_328,,,,,,328,328,,RANK_SGT_FULL_N,,0
328,comm1,24954055,93296,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25047351,ranked_up_329,,,,,,329,329,,RANK_SSGT_FULL,,0
329,comm1,25047351,93349,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25140701,ranked_up_330,,,,,,330,330,,RANK_SSGT_FULL_N,,0
330,comm1,25140701,93403,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25234103,ranked_up_331,,,,,,331,331,,RANK_SSGT_FULL_N,,0
331,comm1,25234103,93456,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25327559,ranked_up_332,,,,,,332,332,,RANK_SSGT_FULL_N,,0
332,comm1,25327559,93508,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25421067,ranked_up_333,,,,,,333,333,,RANK_SFC_FULL,,0
333,comm1,25421067,93561,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25514628,ranked_up_334,,,,,,334,334,,RANK_SFC_FULL_N,,0
334,comm1,25514628,93614,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25608242,ranked_up_335,,,,,,335,335,,RANK_SFC_FULL_N,,0
335,comm1,25608242,93666,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25701908,ranked_up_336,,,,,,336,336,,RANK_SFC_FULL_N,,0
336,comm1,25701908,93718,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25795626,ranked_up_337,,,,,,337,337,,RANK_MSGT_FULL,,0
337,comm1,25795626,93770,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25889397,ranked_up_338,,,,,,338,338,,RANK_MSGT_FULL_N,,0
338,comm1,25889397,93822,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,25983219,ranked_up_339,,,,,,339,339,,RANK_MSGT_FULL_N,,0
339,comm1,25983219,93874,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26077093,ranked_up_340,,,,,,340,340,,RANK_MSGT_FULL_N,,0
340,comm1,26077093,93926,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26171019,ranked_up_341,,,,,,341,341,,RANK_1STSGT_FULL,,0
341,comm1,26171019,93977,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26264996,ranked_up_342,,,,,,342,342,,RANK_1STSGT_FULL_N,,0
342,comm1,26264996,94028,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26359024,ranked_up_343,,,,,,343,343,,RANK_1STSGT_FULL_N,,0
343,comm1,26359024,94080,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26453104,ranked_up_344,,,,,,344,344,,RANK_1STSGT_FULL_N,,0
344,comm1,26453104,94131,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26547234,ranked_up_345,,,,,,345,345,,RANK_PVT_FULL,,0
345,comm1,26547234,94181,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26641416,ranked_up_346,,,,,,346,346,,RANK_PVT_FULL_N,,0
346,comm1,26641416,94232,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26735648,ranked_up_347,,,,,,347,347,,RANK_PVT_FULL_N,,0
347,comm1,26735648,94283,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26829931,ranked_up_348,,,,,,348,348,,RANK_PFC_FULL,,0
348,comm1,26829931,94333,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,26924264,ranked_up_349,,,,,,349,349,,RANK_PFC_FULL_N,,0
349,comm1,26924264,94383,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27018647,ranked_up_350,,,,,,350,350,,RANK_PFC_FULL_N,,0
350,comm1,27018647,94434,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27113081,ranked_up_351,,,,,,351,351,,RANK_SPC_FULL,,0
351,comm1,27113081,94484,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27207565,ranked_up_352,,,,,,352,352,,RANK_SPC_FULL_N,,0
352,comm1,27207565,94533,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27302098,ranked_up_353,,,,,,353,353,,RANK_SPC_FULL_N,,0
353,comm1,27302098,94583,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27396681,ranked_up_354,,,,,,354,354,,RANK_CPL_FULL,,0
354,comm1,27396681,94633,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27491314,ranked_up_355,,,,,,355,355,,RANK_CPL_FULL_N,,0
355,comm1,27491314,94682,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27585996,ranked_up_356,,,,,,356,356,,RANK_CPL_FULL_N,,0
356,comm1,27585996,94732,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27680728,ranked_up_357,,,,,,357,357,,RANK_SGT_FULL,,0
357,comm1,27680728,94781,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27775508,ranked_up_358,,,,,,358,358,,RANK_SGT_FULL_N,,0
358,comm1,27775508,94830,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27870338,ranked_up_359,,,,,,359,359,,RANK_SGT_FULL_N,,0
359,comm1,27870338,94879,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,27965217,ranked_up_360,,,,,,360,360,,RANK_SSGT_FULL,,0
360,comm1,27965217,94927,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28060144,ranked_up_361,,,,,,361,361,,RANK_SSGT_FULL_N,,0
361,comm1,28060144,94976,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28155120,ranked_up_362,,,,,,362,362,,RANK_SSGT_FULL_N,,0
362,comm1,28155120,95024,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28250145,ranked_up_363,,,,,,363,363,,RANK_SSGT_FULL_N,,0
363,comm1,28250145,95073,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28345218,ranked_up_364,,,,,,364,364,,RANK_SFC_FULL,,0
364,comm1,28345218,95121,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28440339,ranked_up_365,,,,,,365,365,,RANK_SFC_FULL_N,,0
365,comm1,28440339,95169,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28535508,ranked_up_366,,,,,,366,366,,RANK_SFC_FULL_N,,0
366,comm1,28535508,95217,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28630725,ranked_up_367,,,,,,367,367,,RANK_SFC_FULL_N,,0
367,comm1,28630725,95265,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28725990,ranked_up_368,,,,,,368,368,,RANK_MSGT_FULL,,0
368,comm1,28725990,95313,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28821303,ranked_up_369,,,,,,369,369,,RANK_MSGT_FULL_N,,0
369,comm1,28821303,95360,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,28916663,ranked_up_370,,,,,,370,370,,RANK_MSGT_FULL_N,,0
370,comm1,28916663,95408,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29012070,ranked_up_371,,,,,,371,371,,RANK_MSGT_FULL_N,,0
371,comm1,29012070,95455,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29107525,ranked_up_372,,,,,,372,372,,RANK_1STSGT_FULL,,0
372,comm1,29107525,95502,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29203028,ranked_up_373,,,,,,373,373,,RANK_1STSGT_FULL_N,,0
373,comm1,29203028,95549,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29298577,ranked_up_374,,,,,,374,374,,RANK_1STSGT_FULL_N,,0
374,comm1,29298577,95596,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29394173,ranked_up_375,,,,,,375,375,,RANK_1STSGT_FULL_N,,0
375,comm1,29394173,95643,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29489816,ranked_up_376,,,,,,376,376,,RANK_PVT_FULL,,0
376,comm1,29489816,95690,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29585506,ranked_up_377,,,,,,377,377,,RANK_PVT_FULL_N,,0
377,comm1,29585506,95736,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29681242,ranked_up_378,,,,,,378,378,,RANK_PVT_FULL_N,,0
378,comm1,29681242,95783,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29777025,ranked_up_379,,,,,,379,379,,RANK_PFC_FULL,,0
379,comm1,29777025,95829,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29872854,ranked_up_380,,,,,,380,380,,RANK_PFC_FULL_N,,0
380,comm1,29872854,95875,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,29968729,ranked_up_381,,,,,,381,381,,RANK_PFC_FULL_N,,0
381,comm1,29968729,95921,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30064650,ranked_up_382,,,,,,382,382,,RANK_SPC_FULL,,0
382,comm1,30064650,95967,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30160618,ranked_up_383,,,,,,383,383,,RANK_SPC_FULL_N,,0
383,comm1,30160618,96013,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30256631,ranked_up_384,,,,,,384,384,,RANK_SPC_FULL_N,,0
384,comm1,30256631,96059,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30352690,ranked_up_385,,,,,,385,385,,RANK_CPL_FULL,,0
385,comm1,30352690,96104,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30448794,ranked_up_386,,,,,,386,386,,RANK_CPL_FULL_N,,0
386,comm1,30448794,96150,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30544944,ranked_up_387,,,,,,387,387,,RANK_CPL_FULL_N,,0
387,comm1,30544944,96195,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30641139,ranked_up_388,,,,,,388,388,,RANK_SGT_FULL,,0
388,comm1,30641139,96241,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30737380,ranked_up_389,,,,,,389,389,,RANK_SGT_FULL_N,,0
389,comm1,30737380,96286,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30833666,ranked_up_390,,,,,,390,390,,RANK_SGT_FULL_N,,0
390,comm1,30833666,96331,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,30929996,ranked_up_391,,,,,,391,391,,RANK_SSGT_FULL,,0
391,comm1,30929996,96376,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31026372,ranked_up_392,,,,,,392,392,,RANK_SSGT_FULL_N,,0
392,comm1,31026372,96420,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31122792,ranked_up_393,,,,,,393,393,,RANK_SSGT_FULL_N,,0
393,comm1,31122792,96465,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31219257,ranked_up_394,,,,,,394,394,,RANK_SSGT_FULL_N,,0
394,comm1,31219257,96510,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31315767,ranked_up_395,,,,,,395,395,,RANK_SFC_FULL,,0
395,comm1,31315767,96554,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31412321,ranked_up_396,,,,,,396,396,,RANK_SFC_FULL_N,,0
396,comm1,31412321,96598,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31508920,ranked_up_397,,,,,,397,397,,RANK_SFC_FULL_N,,0
397,comm1,31508920,96643,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31605562,ranked_up_398,,,,,,398,398,,RANK_SFC_FULL_N,,0
398,comm1,31605562,96687,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31702249,ranked_up_399,,,,,,399,399,,RANK_MSGT_FULL,,0
399,comm1,31702249,96731,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31798980,ranked_up_400,,,,,,400,400,,RANK_MSGT_FULL_N,,0
400,comm1,31798980,96775,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31895755,ranked_up_401,,,,,,401,401,,RANK_MSGT_FULL_N,,0
401,comm1,31895755,96819,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,31992573,ranked_up_402,,,,,,402,402,,RANK_MSGT_FULL_N,,0
402,comm1,31992573,96862,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32089435,ranked_up_403,,,,,,403,403,,RANK_1STSGT_FULL,,0
403,comm1,32089435,96906,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32186341,ranked_up_404,,,,,,404,404,,RANK_1STSGT_FULL_N,,0
404,comm1,32186341,96949,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32283290,ranked_up_405,,,,,,405,405,,RANK_1STSGT_FULL_N,,0
405,comm1,32283290,96993,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32380283,ranked_up_406,,,,,,406,406,,RANK_1STSGT_FULL_N,,0
406,comm1,32380283,97036,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32477319,ranked_up_407,,,,,,407,407,,RANK_PVT_FULL,,0
407,comm1,32477319,97079,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32574398,ranked_up_408,,,,,,408,408,,RANK_PVT_FULL_N,,0
408,comm1,32574398,97122,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32671520,ranked_up_409,,,,,,409,409,,RANK_PVT_FULL_N,,0
409,comm1,32671520,97165,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32768685,ranked_up_410,,,,,,410,410,,RANK_PFC_FULL,,0
410,comm1,32768685,97208,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32865893,ranked_up_411,,,,,,411,411,,RANK_PFC_FULL_N,,0
411,comm1,32865893,97251,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,32963143,ranked_up_412,,,,,,412,412,,RANK_PFC_FULL_N,,0
412,comm1,32963143,97293,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33060436,ranked_up_413,,,,,,413,413,,RANK_SPC_FULL,,0
413,comm1,33060436,97336,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33157772,ranked_up_414,,,,,,414,414,,RANK_SPC_FULL_N,,0
414,comm1,33157772,97378,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33255150,ranked_up_415,,,,,,415,415,,RANK_SPC_FULL_N,,0
415,comm1,33255150,97420,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33352571,ranked_up_416,,,,,,416,416,,RANK_CPL_FULL,,0
416,comm1,33352571,97463,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33450033,ranked_up_417,,,,,,417,417,,RANK_CPL_FULL_N,,0
417,comm1,33450033,97505,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33547538,ranked_up_418,,,,,,418,418,,RANK_CPL_FULL_N,,0
418,comm1,33547538,97547,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33645085,ranked_up_419,,,,,,419,419,,RANK_SGT_FULL,,0
419,comm1,33645085,97589,RANK_1STSGT,RANK_1STSGT_FULL3,icon_alien_rank_comm1,33742674,ranked_up_420,,,,,,420,420,,RANK_SGT_FULL_N,,0
420,comm1,33742674,97631,RANK_1STSGT,RANK_1STSGT_FULL4,icon_alien_rank_comm2,33840304,ranked_up_421,,,,,,421,421,,RANK_SGT_FULL_N,,0
421,comm1,33840304,97672,RANK_1STSGT,RANK_1STSGT_FULL5,icon_alien_rank_comm3,33937976,ranked_up_422,,,,,,422,422,,RANK_SGT_FULL_N,,0
422,comm1,33937976,97714,RANK_1STSGT,RANK_1STSGT_FULL6,icon_alien_rank_comm4,34035690,ranked_up_423,,,,,,423,423,,RANK_SGT_FULL_N,,0
423,comm1,34035690,97755,RANK_1STSGT,RANK_1STSGT_FULL7,icon_alien_rank_comm5,34133446,ranked_up_424,,,,,,424,424,,RANK_SGT_FULL_N,,0
424,comm1,34133446,97797,RANK_1STSGT,RANK_1STSGT_FULL8,icon_alien_rank_comm6,34231242,ranked_up_425,,,,,,425,425,,RANK_SGT_FULL_N,,0
425,comm1,34231242,97838,RANK_1STSGT,RANK_1STSGT_FULL9,icon_alien_rank_comm7,34329081,ranked_up_426,,,,,,426,426,,RANK_SGT_FULL_N,,0
426,comm1,34329081,97879,RANK_1STSGT,RANK_1STSGT_FULL10,icon_alien_rank_comm8,34426960,ranked_up_427,,,,,,427,427,,RANK_SGT_FULL_N,,0
427,comm1,34426960,97920,RANK_1STSGT,RANK_1STSGT_FULL11,icon_alien_rank_comm9,34524880,ranked_up_428,,,,,,428,428,,RANK_SGT_FULL_N,,0
428,comm1,34524880,97962,RANK_1STSGT,RANK_1STSGT_FULL12,icon_alien_rank_comm10,34622842,ranked_up_429,,,,,,429,429,,RANK_SGT_FULL_N,,0
429,comm1,34622842,98002,RANK_1STSGT,RANK_1STSGT_FULL13,icon_alien_rank_comm11,34720844,ranked_up_430,,,,,,430,430,,RANK_SGT_FULL_N,,0
430,comm1,34720844,98043,RANK_1STSGT,RANK_1STSGT_FULL14,icon_alien_rank_comm12,34818888,ranked_up_431,,,,,,431,431,,RANK_SGT_FULL_N,,0
431,comm1,34818888,98084,RANK_1STSGT,RANK_1STSGT_FULL15,icon_alien_rank_comm13,34916972,ranked_up_432,,,,,,432,432,,RANK_SGT_FULL_N,,0
432,comm1,34916972,98125,RANK_1STSGT,RANK_1STSGT_FULL16,icon_alien_rank_comm14,35015097,ranked_up_433,,,,,,433,433,,RANK_SGT_FULL_N,,0
433,comm1,35015097,98165,RANK_1STSGT,RANK_1STSGT_FULL17,icon_alien_rank_comm15,35113262,ranked_up_434,,,,,,434,434,,RANK_SGT_FULL_N,,0
434,comm1,35113262,98206,RANK_1STSGT,RANK_1STSGT_FULL18,icon_alien_rank_comm16,35211468,ranked_up_435,,,,,,435,435,,RANK_SGT_FULL_N,,0
435,comm1,35211468,98246,RANK_1STSGT,RANK_1STSGT_FULL19,icon_alien_rank_comm17,35309714,ranked_up_436,,,,,,436,436,,RANK_SGT_FULL_N,,0
436,comm1,35309714,98286,RANK_1STSGT,RANK_1STSGT_FULL20,icon_alien_rank_comm18,35408000,ranked_up_437,,,,,,437,437,,RANK_SGT_FULL_N,,0
437,comm1,35408000,98327,RANK_1STSGT,RANK_1STSGT_FULL21,icon_alien_rank_comm19,35506327,ranked_up_438,,,,,,438,438,,RANK_SGT_FULL_N,,0
438,comm1,35506327,98367,RANK_1STSGT,RANK_1STSGT_FULL22,icon_alien_rank_comm20,35604694,ranked_up_439,,,,,,439,439,,RANK_SGT_FULL_N,,0
439,comm1,35604694,98407,RANK_1STSGT,RANK_1STSGT_FULL23,icon_alien_rank_comm21,35703100,ranked_up_440,,,,,,440,440,,RANK_SGT_FULL_N,,0
440,comm1,35703100,98447,RANK_1STSGT,RANK_1STSGT_FULL24,icon_alien_rank_comm22,35801547,ranked_up_441,,,,,,441,441,,RANK_SGT_FULL_N,,0
441,comm1,35801547,98487,RANK_1STSGT,RANK_1STSGT_FULL25,icon_alien_rank_comm23,35900034,ranked_up_442,,,,,,442,442,,RANK_SGT_FULL_N,,0
442,comm1,35900034,98526,RANK_1STSGT,RANK_1STSGT_FULL26,icon_alien_rank_comm24,35998560,ranked_up_443,,,,,,443,443,,RANK_SGT_FULL_N,,0
443,comm1,35998560,98566,RANK_1STSGT,RANK_1STSGT_FULL27,icon_alien_rank_comm25,36097126,ranked_up_444,,,,,,444,444,,RANK_SGT_FULL_N,,0
444,comm1,36097126,98605,RANK_1STSGT,RANK_1STSGT_FULL28,icon_alien_rank_comm26,36195731,ranked_up_445,,,,,,445,445,,RANK_SGT_FULL_N,,0
445,comm1,36195731,98645,RANK_1STSGT,RANK_1STSGT_FULL29,icon_alien_rank_comm27,36294376,ranked_up_446,,,,,,446,446,,RANK_SGT_FULL_N,,0
446,comm1,36294376,98684,RANK_1STSGT,RANK_1STSGT_FULL30,icon_alien_rank_comm28,36393061,ranked_up_447,,,,,,447,447,,RANK_SGT_FULL_N,,0
447,comm1,36393061,98724,RANK_1STSGT,RANK_1STSGT_FULL31,icon_alien_rank_comm29,36491784,ranked_up_448,,,,,,448,448,,RANK_SGT_FULL_N,,0
448,comm1,36491784,98763,RANK_1STSGT,RANK_1STSGT_FULL32,icon_alien_rank_comm30,36590547,ranked_up_449,,,,,,449,449,,RANK_SGT_FULL_N,,0
449,comm1,36590547,98802,RANK_1STSGT,RANK_1STSGT_FULL33,icon_alien_rank_comm31,36689349,ranked_up_450,,,,,,450,450,,RANK_SGT_FULL_N,,0
450,comm1,36689349,98841,RANK_1STSGT,RANK_1STSGT_FULL34,icon_alien_rank_comm32,36788190,ranked_up_451,,,,,,451,451,,RANK_SGT_FULL_N,,0
451,comm1,36788190,98880,RANK_1STSGT,RANK_1STSGT_FULL35,icon_alien_rank_comm33,36887070,ranked_up_452,,,,,,452,452,,RANK_SGT_FULL_N,,0
452,comm1,36887070,98919,RANK_1STSGT,RANK_1STSGT_FULL36,icon_alien_rank_comm34,36985989,ranked_up_453,,,,,,453,453,,RANK_SGT_FULL_N,,0
453,comm1,36985989,98958,RANK_1STSGT,RANK_1STSGT_FULL37,icon_alien_rank_comm35,37084946,ranked_up_454,,,,,,454,454,,RANK_SGT_FULL_N,,0
454,comm1,37084946,98996,RANK_1STSGT,RANK_1STSGT_FULL38,icon_alien_rank_comm36,37183943,ranked_up_455,,,,,,455,455,,RANK_SGT_FULL_N,,0
455,comm1,37183943,99035,RANK_1STSGT,RANK_1STSGT_FULL39,icon_alien_rank_comm37,37282978,ranked_up_456,,,,,,456,456,,RANK_SGT_FULL_N,,0
456,comm1,37282978,99073,RANK_1STSGT,RANK_1STSGT_FULL40,icon_alien_rank_comm38,37382051,ranked_up_457,,,,,,457,457,,RANK_SGT_FULL_N,,0
457,comm1,37382051,99112,RANK_1STSGT,RANK_1STSGT_FULL41,icon_alien_rank_comm39,37481163,ranked_up_458,,,,,,458,458,,RANK_SGT_FULL_N,,0
458,comm1,37481163,99150,RANK_1STSGT,RANK_1STSGT_FULL42,icon_alien_rank_comm40,37580313,ranked_up_459,,,,,,459,459,,RANK_SGT_FULL_N,,0
459,comm1,37580313,99189,RANK_1STSGT,RANK_1STSGT_FULL43,icon_alien_rank_comm41,37679502,ranked_up_460,,,,,,460,460,,RANK_SGT_FULL_N,,0
460,comm1,37679502,99227,RANK_1STSGT,RANK_1STSGT_FULL44,icon_alien_rank_comm42,37778729,ranked_up_461,,,,,,461,461,,RANK_SGT_FULL_N,,0
461,comm1,37778729,99265,RANK_1STSGT,RANK_1STSGT_FULL45,icon_alien_rank_comm43,37877993,ranked_up_462,,,,,,462,462,,RANK_SGT_FULL_N,,0
462,comm1,37877993,99303,RANK_1STSGT,RANK_1STSGT_FULL46,icon_alien_rank_comm44,37977296,ranked_up_463,,,,,,463,463,,RANK_SGT_FULL_N,,0
463,comm1,37977296,99341,RANK_1STSGT,RANK_1STSGT_FULL47,icon_alien_rank_comm45,38076637,ranked_up_464,,,,,,464,464,,RANK_SGT_FULL_N,,0
